Merilec;Meril;Kandidat;word;subject;gender;stressed;vowelNoIpa;vowel;f0;f1;f2;f3;f4;f1Bark;f2Bark
B;G-Polanec;Nataša Pirc Musar;želijo;f1;f;TRUE;i;i;233.983735592221;418.962950894489;1881.74007242115;2581.98823021406;3580.83436473221;4.19155176240045;12.6019273013223
B;G-Polanec;Nataša Pirc Musar;predsednice;f1;f;TRUE;e;e;199.075941093271;398.634583987749;2098.85820198092;2587.26653292093;3760.63902955159;4.00117802531427;13.3336004499112
B;G-Polanec;Nataša Pirc Musar;umeščena;f1;f;TRUE;E;ɛ;166.947699001111;671.175974292112;1966.41892751159;2558.2638863882;3807.757275083;6.3088538229993;12.8969145549371
B;G-Polanec;Nataša Pirc Musar;strankarske;f1;f;TRUE;a;a;190.241310952811;853.721732828503;1391.17443694693;2207.26885056119;3305.49425194215;7.60452140276986;10.5996464437485
B;G-Polanec;Nataša Pirc Musar;zdrahe;f1;f;TRUE;a;a;NA;770.885111596448;1406.77320858579;2338.30272607435;3391.16113779267;7.03803343873328;10.6722959033904
B;G-Polanec;Nataša Pirc Musar;vseeno;f1;f;TRUE;E;ɛ;235.780678080029;715.226992937683;1902.95591524217;2542.55645709974;3613.85914869269;6.63770417287201;12.6770490078177
B;G-Polanec;Nataša Pirc Musar;ideja;f1;f;TRUE;E;ɛ;196.847901100568;584.582710782791;1651.38219339318;2592.37388702155;3249.52418355681;5.62922697645982;11.7294492174955
B;G-Polanec;Nataša Pirc Musar;leva;f1;f;TRUE;e;e;219.704837331918;447.410232766999;2115.46523128499;2610.97141580724;3890.26958965158;4.45256100153587;13.3863554667029
B;G-Polanec;Nataša Pirc Musar;desna;f1;f;TRUE;e;e;190.25556250253;432.404580275278;2062.07801259597;2561.5652043729;3864.19777122277;4.3156548247564;13.2152111432358
B;G-Polanec;Nataša Pirc Musar;dobra;f1;f;TRUE;O;ɔ;185.402271620142;724.070858812802;1079.33934169079;2505.84391494739;3796.6006347563;6.70242445743684;8.99084795330301
B;G-Polanec;Nataša Pirc Musar;želijo;f1;f;TRUE;i;i;251.369828952017;418.242681741039;1873.77925941617;2282.21581021644;3478.86672078099;4.1848621053544;12.5735248890667
B;G-Polanec;Nataša Pirc Musar;predsednice;f1;f;TRUE;e;e;237.707606749189;513.837147324712;2044.74009063992;2603.98369800227;3764.83808209659;5.03866644785948;13.1586490981482
B;G-Polanec;Nataša Pirc Musar;zavzela;f1;f;TRUE;e;e;196.94626826607;440.234573540041;2130.0153760008;2599.24595825737;3908.46991858324;4.38730643609597;13.4322243392198
B;G-Polanec;Nataša Pirc Musar;kakovostno;f1;f;TRUE;O;ɔ;204.413751465537;682.094457132286;1032.67959621463;2328.95042934825;3886.89784042054;6.39138479241395;8.72128771203365
B;G-Polanec;Nataša Pirc Musar;zdravstvo;f1;f;TRUE;a;a;181.919426976394;800.841535152805;1380.8436364401;2277.90176901326;3400.82571312713;7.24681778692103;10.5511585101322
B;G-Polanec;Nataša Pirc Musar;pravno;f1;f;TRUE;a;a;188.860602186221;864.79698691038;1278.54249109661;2318.60136311444;3423.08281544589;7.67774283125602;10.0543058352751
B;G-Polanec;Nataša Pirc Musar;državo;f1;f;TRUE;a;a;170.471520589406;823.542693625267;1344.74641324747;2603.38195621723;3723.35937082567;7.40204274059028;10.3793548584071
B;G-Polanec;Nataša Pirc Musar;socialno;f1;f;TRUE;a;a;182.653874561228;886.381334374799;1386.31184861808;2341.30946516364;3368.75051536363;7.81880530152438;10.5768610287471
